Sample ID	../MWA/H_ERR1398076/kraken/ERR1398076_kraken.out	../MWA/H_ERR1398077/kraken/ERR1398077_kraken.out	../MWA/H_ERR1398085/kraken/ERR1398085_kraken.out	../MWA/H_ERR1398168/kraken/ERR1398168_kraken.out	../MWA/H_ERR1398068/kraken/ERR1398068_kraken.out	../MWA/H_ERR1398221/kraken/ERR1398221_kraken.out	../MWA/NH_ERR1398129/kraken/ERR1398129_kraken.out	../MWA/NH_ERR1398206/kraken/ERR1398206_kraken.out	../MWA/NH_ERR1398263/kraken/ERR1398263_kraken.out	../MWA/NH_ERR1398078/kraken/ERR1398078_kraken.out	../MWA/NH_ERR1398257/kraken/ERR1398257_kraken.out	../MWA/NH_ERR1398089/kraken/ERR1398089_kraken.out
d__Archaea|p__Euryarchaeota|c__Methanobacteria	3	0	2	0	0	2	0	1	0	0	0	1
d__Archaea|p__Euryarchaeota|c__Methanococci	0	0	0	0	0	0	0	0	0	0	0	1
d__Archaea|p__Euryarchaeota|c__Halobacteria	8	3	0	7	7	6	1	5	2	2	1	3
d__Archaea|p__Euryarchaeota|c__Thermoplasmata	2	0	0	4	4	6	0	2	1	0	0	0
d__Archaea|p__Euryarchaeota|c__Thermococci	0	0	0	1	1	2	0	0	2	1	0	1
d__Archaea|p__Euryarchaeota|c__Methanomicrobia	5	5	1	7	7	7	3	8	3	4	0	4
d__Viruses|o__Caudovirales	1	1	2	2	2	1	0	0	1	0	2	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	2	1	2	2	2	5	1	0	3	1	3	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	74	74	14	693	693	89	16	80	52	59	13	44
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	10046	7180	2565	5396	5396	134	368	2496	4260	2598	3073	10828
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	0	0	1	2	2	1	0	2	2	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	30	15	4	12	12	23	8	27	17	11	3	7
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	28	13	5	22	22	26	3	16	12	9	4	11
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0	0	0	0	0	1	0	1	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	3	3	2	4	4	5	1	3	5	3	4	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	24	14	8	29	29	35	6	21	21	25	12	13
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	5	6	10	10	10	18	3	8	7	16	3	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	6	7	2	6	6	14	4	8	5	7	8	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	26	14	3	15	15	26	4	19	13	13	3	11
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1	6	1305	37	37	7	0	4	1127	2429	260	12
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	0	0	1	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	3	1	0	2	2	2	1	1	2	2	0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	4	7	2	8	8	7	2	5	4	5	5	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	0	1	0	0	0	1	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	0	0	0	1	1	0	1	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	133	85	18	101	101	131	27	126	56	74	21	53
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	0	1	0	0	0	0	0	3	2	3	1	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	0	0	0	0	0	0	0	0	0	0	1	1
